No.,QRCODE,SLOT_NO,MAIN_LOADING_TIME,FIRST_IN_DATETIME,LAST_IN_DATETIME,QRCODE
96,A11F2S2642212625,5,2026-08-19 16:07,08:04.0,08:04.0,A11F2S2642212625
97,A11F2S2642212020,3,2026-08-19 16:07,07:56.0,07:56.0,A11F2S2642212020
98,A11F2S2642212018,5,2026-08-19 16:07,07:56.0,07:56.0,A11F2S2642212018
99,A11F2S2642211998,6,2026-08-19 16:07,07:56.0,07:56.0,A11F2S2642211998
100,A11F2S2642212019,4,2026-08-19 16:07,07:56.0,07:56.0,A11F2S2642212019
101,A11F2S2642212021,2,2026-08-19 16:07,07:56.0,07:56.0,A11F2S2642212021
102,A11F2S2642212010,1,2026-08-19 16:07,07:56.0,07:56.0,A11F2S2642212010
103,A11F2S2642212007,4,2026-08-19 16:07,07:47.0,07:47.0,A11F2S2642212007
104,A11F2S2642211999,1,2026-08-19 16:07,07:47.0,07:47.0,A11F2S2642211999
105,A11F2S2642212008,3,2026-08-19 16:07,07:47.0,07:47.0,A11F2S2642212008
106,A11F2S2642211992,6,2026-08-19 16:07,07:47.0,07:47.0,A11F2S2642211992
107,A11F2S2642212009,2,2026-08-19 16:07,07:47.0,07:47.0,A11F2S2642212009
108,A11F2S2642212006,5,2026-08-19 16:07,07:47.0,07:47.0,A11F2S2642212006
109,A11F2S2642212013,5,2026-08-19 16:07,07:40.0,07:40.0,A11F2S2642212013
110,A11F2S2642212012,6,2026-08-19 16:07,07:40.0,07:40.0,A11F2S2642212012
111,A11F2S2642212560,1,2026-08-19 16:07,07:40.0,07:40.0,A11F2S2642212560
112,A11F2S2642212570,3,2026-08-19 16:07,07:40.0,07:40.0,A11F2S2642212570
113,A11F2S2642212559,2,2026-08-19 16:07,07:40.0,07:40.0,A11F2S2642212559
114,A11F2S2642212014,4,2026-08-19 16:07,07:40.0,07:40.0,A11F2S2642212014
115,A11F2S2642212565,2,2026-08-19 16:07,07:31.0,07:31.0,A11F2S2642212565
116,A11F2S2642212575,4,2026-08-19 16:07,07:31.0,07:31.0,A11F2S2642212575
117,A11F2S2642212569,6,2026-08-19 16:07,07:31.0,07:31.0,A11F2S2642212569
118,A11F2S2642212576,3,2026-08-19 16:07,07:31.0,07:31.0,A11F2S2642212576
119,A11F2S2642212579,5,2026-08-19 16:07,07:31.0,07:31.0,A11F2S2642212579
120,A11F2S2642212566,1,2026-08-19 16:07,07:31.0,07:31.0,A11F2S2642212566
121,A11F2S2642212553,2,2026-08-19 16:07,07:23.0,07:23.0,A11F2S2642212553
122,A11F2S2642212548,6,2026-08-19 16:07,07:23.0,07:23.0,A11F2S2642212548
123,A11F2S2642212563,4,2026-08-19 16:07,07:23.0,07:23.0,A11F2S2642212563
124,A11F2S2642212564,3,2026-08-19 16:07,07:23.0,07:23.0,A11F2S2642212564
125,A11F2S2642212554,1,2026-08-19 16:07,07:23.0,07:23.0,A11F2S2642212554
126,A11F2S2642212567,5,2026-08-19 16:07,07:23.0,07:23.0,A11F2S2642212567
127,A11F2S2642211969,1,2026-08-19 16:07,07:15.0,07:15.0,A11F2S2642211969
128,A11F2S2642211979,3,2026-08-19 16:07,07:15.0,07:15.0,A11F2S2642211979
129,A11F2S2642212574,5,2026-08-19 16:07,07:15.0,07:15.0,A11F2S2642212574
130,A11F2S2642212573,6,2026-08-19 16:07,07:15.0,07:15.0,A11F2S2642212573
131,A11F2S2642212568,4,2026-08-19 16:07,07:15.0,07:15.0,A11F2S2642212568
132,A11F2S2642211968,2,2026-08-19 16:07,07:15.0,07:15.0,A11F2S2642211968
133,A11F2S2642211985,4,2026-08-19 16:06,07:07.0,07:07.0,A11F2S2642211985
134,A11F2S2642211970,6,2026-08-19 16:06,07:07.0,07:07.0,A11F2S2642211970
135,A11F2S2642211984,5,2026-08-19 16:06,07:07.0,07:07.0,A11F2S2642211984
136,A11F2S2642211975,2,2026-08-19 16:06,07:07.0,07:07.0,A11F2S2642211975
137,A11F2S2642211974,3,2026-08-19 16:06,07:07.0,07:07.0,A11F2S2642211974
138,A11F2S2642211976,1,2026-08-19 16:06,07:07.0,07:07.0,A11F2S2642211976
139,A11F2S2642211971,5,2026-08-19 16:06,06:58.0,06:58.0,A11F2S2642211971
140,A11F2S2642211972,4,2026-08-19 16:06,06:58.0,06:58.0,A11F2S2642211972
141,A11F2S2642211962,2,2026-08-19 16:06,06:58.0,06:58.0,A11F2S2642211962
142,A11F2S2642211958,6,2026-08-19 16:06,06:58.0,06:58.0,A11F2S2642211958
143,A11F2S2642211973,3,2026-08-19 16:06,06:58.0,06:58.0,A11F2S2642211973
144,A11F2S2642211963,1,2026-08-19 16:06,06:58.0,06:58.0,A11F2S2642211963
145,A11F2S2642211978,4,2026-08-19 16:06,06:50.0,06:50.0,A11F2S2642211978
146,A11F2S2642212603,3,2026-08-19 16:06,06:50.0,06:50.0,A11F2S2642212603
147,A11F2S2642211977,5,2026-08-19 16:06,06:50.0,06:50.0,A11F2S2642211977
148,A11F2S2642212605,1,2026-08-19 16:06,06:50.0,06:50.0,A11F2S2642212605
149,A11F2S2642211964,6,2026-08-19 16:06,06:50.0,06:50.0,A11F2S2642211964
150,A11F2S2642212604,2,2026-08-19 16:06,06:50.0,06:50.0,A11F2S2642212604
151,A11F2S2642212606,6,2026-08-19 16:06,06:42.0,06:42.0,A11F2S2642212606
152,A11F2S2642212612,1,2026-08-19 16:06,06:42.0,06:42.0,A11F2S2642212612
153,A11F2S2642212609,4,2026-08-19 16:06,06:42.0,06:42.0,A11F2S2642212609
154,A11F2S2642212611,2,2026-08-19 16:06,06:42.0,06:42.0,A11F2S2642212611
155,A11F2S2642212610,3,2026-08-19 16:06,06:42.0,06:42.0,A11F2S2642212610
156,A11F2S2642212613,5,2026-08-19 16:06,06:42.0,06:42.0,A11F2S2642212613
157,A11F2S2642212598,3,2026-08-19 16:06,06:34.0,06:34.0,A11F2S2642212598
158,A11F2S2642212594,6,2026-08-19 16:06,06:34.0,06:34.0,A11F2S2642212594
159,A11F2S2642212601,5,2026-08-19 16:06,06:34.0,06:34.0,A11F2S2642212601
160,A11F2S2642212597,4,2026-08-19 16:06,06:34.0,06:34.0,A11F2S2642212597
161,A11F2S2642212600,1,2026-08-19 16:06,06:34.0,06:34.0,A11F2S2642212600
162,A11F2S2642212599,2,2026-08-19 16:06,06:34.0,06:34.0,A11F2S2642212599
163,A11F2S2642212607,6,2026-08-19 16:06,06:25.0,06:25.0,A11F2S2642212607
164,A11F2S2642212608,5,2026-08-19 16:06,06:25.0,06:25.0,A11F2S2642212608
165,A11F2S2642211996,3,2026-08-19 16:06,06:25.0,06:25.0,A11F2S2642211996
166,A11F2S2642211997,2,2026-08-19 16:06,06:25.0,06:25.0,A11F2S2642211997
167,A11F2S2642212602,4,2026-08-19 16:06,06:25.0,06:25.0,A11F2S2642212602
168,A11F2S2642211986,1,2026-08-19 16:06,06:25.0,06:25.0,A11F2S2642211986
169,A11F2S2642212000,5,2026-08-19 16:06,06:18.0,06:18.0,A11F2S2642212000
170,A11F2S2642211987,6,2026-08-19 16:06,06:18.0,06:18.0,A11F2S2642211987
171,A11F2S2642212002,3,2026-08-19 16:06,06:18.0,06:18.0,A11F2S2642212002
172,A11F2S2642211993,1,2026-08-19 16:06,06:18.0,06:18.0,A11F2S2642211993
173,A11F2S2642212001,4,2026-08-19 16:06,06:18.0,06:18.0,A11F2S2642212001
174,A11F2S2642212003,2,2026-08-19 16:06,06:18.0,06:18.0,A11F2S2642212003
175,A11F2S2642211981,3,2026-08-19 16:06,06:10.0,06:10.0,A11F2S2642211981
176,A11F2S2642211983,1,2026-08-19 16:06,06:10.0,06:10.0,A11F2S2642211983
177,A11F2S2642211991,4,2026-08-19 16:06,06:10.0,06:10.0,A11F2S2642211991
178,A11F2S2642211982,2,2026-08-19 16:06,06:10.0,06:10.0,A11F2S2642211982
179,A11F2S2642211989,5,2026-08-19 16:06,06:10.0,06:10.0,A11F2S2642211989
180,A11F2S2642211988,6,2026-08-19 16:06,06:10.0,06:10.0,A11F2S2642211988
181,A11F2S2642211980,6,2026-08-19 16:05,06:01.0,06:01.0,A11F2S2642211980
182,A11F2S2642211994,5,2026-08-19 16:05,06:01.0,06:01.0,A11F2S2642211994
183,A11F2S2642211995,4,2026-08-19 16:05,06:01.0,06:01.0,A11F2S2642211995
184,A11F2S2642212588,2,2026-08-19 16:05,06:01.0,06:01.0,A11F2S2642212588
185,A11F2S2642212577,1,2026-08-19 16:05,06:01.0,06:01.0,A11F2S2642212577
186,A11F2S2642212587,3,2026-08-19 16:05,06:01.0,06:01.0,A11F2S2642212587
187,A11F2S2642212591,3,2026-08-19 16:05,05:52.0,05:52.0,A11F2S2642212591
188,A11F2S2642212590,4,2026-08-19 16:05,05:52.0,05:52.0,A11F2S2642212590
189,A11F2S2642212596,5,2026-08-19 16:05,05:52.0,05:52.0,A11F2S2642212596
190,A11F2S2642212593,1,2026-08-19 16:05,05:52.0,05:52.0,A11F2S2642212593
191,A11F2S2642212592,2,2026-08-19 16:05,05:52.0,05:52.0,A11F2S2642212592
192,A11F2S2642212595,6,2026-08-19 16:05,05:52.0,05:52.0,A11F2S2642212595
193,A11F2S2642212571,1,2026-08-19 16:05,05:44.0,05:44.0,A11F2S2642212571
194,A11F2S2642212580,4,2026-08-19 16:05,05:44.0,05:44.0,A11F2S2642212580
195,A11F2S2642212581,3,2026-08-19 16:05,05:44.0,05:44.0,A11F2S2642212581
196,A11F2S2642212582,2,2026-08-19 16:05,05:44.0,05:44.0,A11F2S2642212582
197,A11F2S2642212583,6,2026-08-19 16:05,05:44.0,05:44.0,A11F2S2642212583
198,A11F2S2642212584,5,2026-08-19 16:05,05:44.0,05:44.0,A11F2S2642212584
199,A11F2S2642212586,4,2026-08-19 16:05,05:36.0,05:36.0,A11F2S2642212586
200,A11F2S2642211934,1,2026-08-19 16:05,05:36.0,05:36.0,A11F2S2642211934
201,A11F2S2642212589,5,2026-08-19 16:05,05:36.0,05:36.0,A11F2S2642212589
202,A11F2S2642212572,6,2026-08-19 16:05,05:36.0,05:36.0,A11F2S2642212572
203,A11F2S2642211933,2,2026-08-19 16:05,05:36.0,05:36.0,A11F2S2642211933
204,A11F2S2642211932,3,2026-08-19 16:05,05:36.0,05:36.0,A11F2S2642211932
